,block,warp
0,0.264736,0.0986519
1,0.054801,0.0617781
2,0.0371909,0.0693779
3,0.027884,0.0700369
4,0.0267529,0.079298
5,0.0110269,0.052053
6,0.00940204,0.0447781
7,0.00871515,0.039706
8,0.00820708,0.0407951
9,0.00789213,0.0308881
10,0.00781608,0.034725
11,0.007514,0.037729
12,0.007447,0.040415
13,0.00721598,0.044035
14,0.00710797,0.046906
15,0.00705385,0.0517631
16,0.00705004,0.053823
17,0.00695705,0.057925
18,0.00686693,0.0614939
19,0.00685096,0.064677
20,0.00682306,0.0681608
21,0.00677395,0.0701759
22,0.00674915,0.075501
23,0.00664997,0.07529
24,0.00661993,0.0806069
25,0.00658083,0.083086
26,0.00667,0.087615
27,0.00643611,0.0897129
28,0.00646996,0.092948
29,0.00656319,0.0991871
30,0.00653601,0.101788
31,0.00656009,0.103062
32,0.162572,0.0
