,butterfly_shared0,butterfly_shared1,butterfly_shared2,butterfly_shared4,butterfly_shared8
0,1.8297,1.74907,1.71696,1.75136,1.79273
1,0.873667,0.835593,0.824146,0.820467,0.826113
2,0.596073,0.519586,0.560829,0.51751,0.472119
3,0.580718,0.555308,0.543691,0.608891,0.506215
