,block,warp
0,1.75658,0.333114
1,0.0800855,0.140903
2,0.0570419,0.125807
3,0.0518503,0.134233
4,0.048465,0.130975
5,0.0447288,0.147379
6,0.0411692,0.143398
7,0.0380723,0.140493
8,0.0356817,0.139149
9,0.0325205,0.134118
10,0.0304937,0.155939
11,0.0298202,0.145921
12,0.0279801,0.151947
13,0.026298,0.129331
14,0.0253921,0.140529
15,0.024682,0.14347
16,0.0235889,0.150364
17,0.0237432,0.162094
18,0.0227094,0.141603
19,0.0227046,0.108548
20,0.0213857,0.106009
21,0.0214181,0.10968
22,0.0214779,0.114914
23,0.0205896,0.113114
24,0.0202174,0.114092
25,0.0202122,0.122416
26,0.0196378,0.113829
27,0.0197351,0.121062
28,0.0194306,0.124657
29,0.0198791,0.122999
30,0.019186,0.120892
31,0.0189726,0.122187
32,0.0695746,0.0
