,1,2,4,8,16,32
0,10.6262,6.80169,5.27118,5.09014,5.99978,8.59981
1,10.378,6.18228,4.31464,3.71679,3.92463,4.70002
2,12.0397,7.06945,4.78536,3.84594,3.73506,4.0561
3,13.2342,7.81396,5.36097,4.36628,4.12447,4.23761
