,butterfly_shared0,butterfly_shared1,butterfly_shared2,butterfly_shared4,butterfly_shared8
0,67.0344,66.6948,66.8486,67.6768,70.3067
1,21.5656,21.4799,21.5479,21.8612,22.7785
2,2.25522,2.24298,2.24167,2.24061,2.29916
3,1.79156,1.80449,1.74008,1.74795,1.7617
