,block,warp
0,84.9209,0.381942
1,1.63407,0.191155
2,1.56146,0.193413
3,1.77643,0.231268
4,1.6047,0.236676
5,1.59203,0.286506
6,1.616,0.246043
7,1.58842,0.284101
8,1.71609,0.311145
9,1.61554,0.357903
10,1.59809,0.412771
11,1.80917,0.457267
12,1.59404,0.483316
13,1.59356,0.528199
14,1.69464,0.572403
15,1.57903,0.618327
16,1.64998,0.6404
17,1.59901,0.671832
18,1.59156,0.709936
19,1.74875,0.728594
20,1.57217,0.729089
21,1.59658,0.75154
22,1.72908,0.785269
23,1.56099,0.784362
24,1.64136,0.792763
25,1.63692,0.819726
26,1.58703,0.81243
27,1.71958,0.822899
28,1.61017,0.834396
29,1.66912,0.838528
30,1.75027,0.840262
31,1.73968,0.826548
32,2.04199,0.0
