,butterfly_shared0,butterfly_shared1,butterfly_shared2,butterfly_shared4,butterfly_shared8
0,11.6699,11.4333,11.77,11.8078,11.898
1,3.10993,3.07126,3.07467,3.09279,3.14203
2,0.631331,0.613973,0.614231,0.623971,0.641179
3,0.419567,0.349124,0.343668,0.343244,0.346971
