,block,warp
0,1.08423,0.296402
1,0.0764799,0.058769
2,0.0512218,0.0389109
3,0.0439451,0.0287991
4,0.0407648,0.0235891
5,0.039439,0.022356
6,0.038223,0.020699
7,0.037693,0.0189679
8,0.037406,0.020375
9,0.0366249,0.0237331
10,0.0365739,0.015949
11,0.0361791,0.0169089
12,0.0360188,0.017622
13,0.0365331,0.0313361
14,0.0361159,0.0193851
15,0.036,0.0206971
16,0.0355892,0.0252399
17,0.0354171,0.024262
18,0.0351369,0.0253901
19,0.035409,0.02581
20,0.0353529,0.0266321
21,0.035105,0.027493
22,0.0351958,0.029027
23,0.035207,0.02911
24,0.034879,0.0301549
25,0.035161,0.033457
26,0.0350711,0.0320709
27,0.035193,0.0326078
28,0.035152,0.03263
29,0.035125,0.0345938
30,0.0349979,0.0362239
31,0.0351491,0.03686
32,0.802563,0.0
