,block,warp
0,2.11601,1.52097
1,0.314495,0.751197
2,0.205499,0.709698
3,0.180654,0.72988
4,0.171132,0.681715
5,0.160884,0.762116
6,0.154359,0.830375
7,0.143507,0.815268
8,0.132769,0.915003
9,0.124647,0.973664
10,0.115351,0.971856
11,0.105364,0.917364
12,0.0975268,1.03404
13,0.0905502,1.03706
14,0.0817659,1.10642
15,0.0759549,0.993708
16,0.0713859,0.992554
17,0.0662532,1.01897
18,0.0616469,1.07111
19,0.0581732,1.14722
20,0.0558529,1.11408
21,0.0514171,1.12635
22,0.0494549,1.15459
23,0.0466988,0.949352
24,0.0453129,1.22539
25,0.043607,1.28013
26,0.0427198,1.31396
27,0.042016,1.25316
28,0.0437038,1.08771
29,0.0431538,1.33165
30,0.06024,1.58628
31,0.0489218,1.63083
32,1.16605,0.0
