,block,warp
0,53.3618,0.184011
1,0.891726,0.155524
2,0.75772,0.146809
3,0.792766,0.220351
4,0.70387,0.229341
5,0.647613,0.113812
6,0.69417,0.13965
7,0.630066,0.177469
8,0.687468,0.212642
9,0.651638,0.241922
10,0.638526,0.277213
11,0.714443,0.303138
12,0.636277,0.323114
13,0.645623,0.352759
14,0.676338,0.383178
15,0.612494,0.411232
16,0.674137,0.427065
17,0.658019,0.453032
18,0.622378,0.48618
19,0.69674,0.509577
20,0.642974,0.525929
21,0.630974,0.556852
22,0.691416,0.585437
23,0.631962,0.612667
24,0.654921,0.630979
25,0.669639,0.662782
26,0.627591,0.701009
27,0.70076,0.724323
28,0.675792,0.730449
29,0.698663,0.777765
30,0.738067,0.781353
31,0.774127,0.801746
32,5.94459,0.0
