,block,warp
0,29.782,1.68242
1,0.592365,1.09793
2,0.418017,1.02599
3,0.448478,1.31279
4,0.313221,1.52646
5,0.288141,1.33566
6,0.351015,1.4061
7,0.26081,1.53834
8,0.263335,1.78939
9,0.286109,1.86804
10,0.236922,1.31839
11,0.281259,1.41173
12,0.244727,1.47131
13,0.224526,1.62038
14,0.289626,1.67918
15,0.228066,1.8025
16,0.231255,1.89573
17,0.282826,1.98239
18,0.245286,2.08383
19,0.248137,2.15632
20,0.29823,2.24615
21,0.276669,2.39102
22,0.276548,2.55697
23,0.287535,2.67666
24,0.275777,2.70486
25,0.301889,2.819
26,0.305634,2.92203
27,0.288299,2.98892
28,0.296137,2.95345
29,0.349047,2.97305
30,0.379575,2.782
31,0.375917,4.53669
32,2.81168,0.0
