,butterfly_shared0,butterfly_shared1,butterfly_shared2,butterfly_shared4,butterfly_shared8
0,14.1261,13.8602,13.9536,13.8419,14.0566
1,3.74701,3.74676,3.75121,3.76423,3.82568
2,0.756522,0.743124,0.74641,0.759384,0.781579
3,0.448706,0.421229,0.414705,0.410878,0.346609
