==33294== NVPROF is profiling process 33294, command: ./butterfly.bin ../dataset/twitter/
==33294== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==33294== Profiling application: ./butterfly.bin ../dataset/twitter/
==33294== Profiling result:
==33294== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-32GB (0)"
    Kernel: butterflyCounting(__int64*, int*, int, int, __int64*, int*)
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       2.72%       2.72%       2.72%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.03%       0.03%       0.03%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.00%       0.00%       0.00%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       0.08%       0.08%       0.08%
          1                         shared_efficiency                                         Shared Memory Efficiency       0.52%       0.52%       0.52%
          1                                inst_fp_32                                          FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                          FP Instructions(Double)           0           0           0
          1                              inst_integer                                             Integer Instructions  3.1325e+12  3.1325e+12  3.1325e+12
          1                          inst_bit_convert                                         Bit-Convert Instructions           0           0           0
          1                              inst_control                                        Control-Flow Instructions  3.1618e+11  3.1618e+11  3.1618e+11
          1                        inst_compute_ld_st                                          Load/Store Instructions  6.2620e+11  6.2620e+11  6.2620e+11
          1                                 inst_misc                                                Misc Instructions  5954840820  5954840820  5954840820
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots  1.2774e+11  1.2774e+11  1.2774e+11
          1                                 cf_issued                                 Issued Control-Flow Instructions  1.0001e+10  1.0001e+10  1.0001e+10
          1                               cf_executed                               Executed Control-Flow Instructions  1.0001e+10  1.0001e+10  1.0001e+10
          1                               ldst_issued                                   Issued Load/Store Instructions  1.9652e+10  1.9652e+10  1.9652e+10
          1                             ldst_executed                                 Executed Load/Store Instructions  1.9652e+10  1.9652e+10  1.9652e+10
          1                       atomic_transactions                                              Atomic Transactions     9294925     9294925     9294925
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    5.362981    5.362981    5.362981
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  37.519MB/s  37.519MB/s  37.519MB/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)    41455026    41455026    41455026
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)  4.7620e+10  4.7620e+10  4.7620e+10
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       2.49%       2.49%       2.49%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)       0.10%       0.10%       0.10%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)  4.7809e+10  4.7809e+10  4.7809e+10
          1             nvlink_total_data_transmitted                                    NVLink Total Data Transmitted        1152        1152        1152
          1                nvlink_total_data_received                                       NVLink Total Data Received         864         864         864
          1              nvlink_user_data_transmitted                                     NVLink User Data Transmitted           0           0           0
          1                 nvlink_user_data_received                                        NVLink User Data Received           0           0           0
          1          nvlink_overhead_data_transmitted                                 NVLink Overhead Data Transmitted     100.00%     100.00%     100.00%
          1             nvlink_overhead_data_received                                    NVLink Overhead Data Received     100.00%     100.00%     100.00%
          1      nvlink_total_nratom_data_transmitted                             NVLink Total Nratom Data Transmitted           0           0           0
          1       nvlink_user_nratom_data_transmitted                              NVLink User Nratom Data Transmitted           0           0           0
          1       nvlink_total_ratom_data_transmitted                              NVLink Total Ratom Data Transmitted           0           0           0
          1        nvlink_user_ratom_data_transmitted                               NVLink User Ratom Data Transmitted           0           0           0
          1       nvlink_total_write_data_transmitted                              NVLink Total Write Data Transmitted           0           0           0
          1        nvlink_user_write_data_transmitted                               NVLink User Write Data Transmitted           0           0           0
          1                nvlink_transmit_throughput                                       NVLink Transmit Throughput  68.0000B/s  68.0000B/s  67.0000B/s
          1                 nvlink_receive_throughput                                        NVLink Receive Throughput  51.0000B/s  51.0000B/s  50.0000B/s
          1       nvlink_total_response_data_received                              NVLink Total Response Data Received         288         288         288
          1        nvlink_user_response_data_received                               NVLink User Response Data Received           0           0           0
          1                             flop_count_hp                        Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                    Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                     Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                    Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                            HP Instructions(Half)           0           0           0
          1                                       ipc                                                     Executed IPC    0.159698    0.159698    0.159698
          1                                issued_ipc                                                       Issued IPC    0.068912    0.068912    0.068912
          1                    issue_slot_utilization                                           Issue Slot Utilization       1.72%       1.72%       1.72%
          1                        achieved_occupancy                                               Achieved Occupancy    0.841136    0.841136    0.841136
          1                  eligible_warps_per_cycle                                  Eligible Warps Per Active Cycle    0.118227    0.118227    0.118227
          1                       ldst_fu_utilization                             Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                           Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1             half_precision_fu_utilization                         Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                       Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                       Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                   sysmem_read_utilization                                   System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                  System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1       nvlink_data_transmission_efficiency                              NVLink Data Transmission Efficiency       0.00%       0.00%       0.00%
          1            nvlink_data_receive_efficiency                                   NVLink Data Receive Efficiency       0.00%       0.00%       0.00%
          1                            stall_sleeping                                   Issue Stall Reasons (Sleeping)       0.00%       0.00%       0.00%
