flicker,35258013095,0.157698
wiki-en-cat,160976541,0.0118123
trackers,20067567209850,1.6349
d-label,3261758502,0.0401132
edit-fr,586810603830,0.0152444
trec,19437865881564,1.89222
d-style,77383418076,0.0167666
ml,370621709331,0.0663326
bi-web-baidu,2304950802,0.123711
marvel,10709594,0.00154699
livejournal,3297158439527,1.6013
bi-twitter,63025530368473,32.6459
github,50894505,0.00489282
dblp-author,31673959,0.264941
wiki-it,298492670057,0.0544387
bi-sk-2005,122335844679986,7.94122
wiki-en,2036443879822,1.79766
reuters,7494431354266,0.708655
delicious-ut,26683115105181,2.87468
wiki-fr,601291038864,0.112868
condmat,70549,0.0013634
delicious,56892252403,3.07273
dbpedia,3761554,0.0018517
amazon,35849304,0.0597981
twitter,206508691,0.0170964
orkut,22131701213295,17.0389
dblp,21040464,0.0440808
