
flicker,35258013095,0.261341,0.18969
wiki-en-cat,160976541,0.0867473,0.0496229
trackers,20067567209850,3.4767,2.3683
d-label,3261758502,0.128125,0.0796652
edit-fr,586810603830,0.0588502,0.0177357
trec,19437865881564,2.58374,1.95504
d-style,77383418076,0.0695683,0.0169314
ml,370621709331,0.117981,0.0704859
bi-web-baidu,2304950802,0.251552,0.176929
marvel,10709594,0.0134725,0.0123998
livejournal,3297158439527,2.86094,1.98125
bi-twitter,63025530368473,37.655,33.0923
github,50894505,0.0159765,0.0110822
dblp-author,31673959,0.400341,0.323412
wiki-it,298492670057,0.207,0.0998158
bi-sk-2005,122335844679986,17.2167,10.8449
wiki-en,2036443879822,3.29643,2.29315
reuters,7494431354266,1.25071,0.794158
delicious-ut,26683115105181,3.4612,2.83347
wiki-fr,601291038864,0.367833,0.184265
condmat,70549,0.00462992,0.0037952
delicious,56892252403,4.40003,3.51972
dbpedia,3761554,0.0103401,0.00615223
amazon,35849304,0.179921,0.121699
twitter,206508691,0.0551057,0.0374676
orkut,22131701213295,19.2706,16.7957
dblp,21040464,0.288472,0.199752
bi-uk-2006-05,5610798785611043,25.8971,16.7739
